Gene,t-statistic,p-value,adjusted_p-value
266_s_at,-10.369737967220075,6.583874132026123e-16,4.8902822427979364e-12
201839_s_at,-10.01336817417484,2.6402845305952618e-15,9.484531927656709e-12
201650_at,-9.977158999891811,2.8884700634788058e-15,9.484531927656709e-12
202286_s_at,-9.281966774388245,9.708392509588237e-14,1.2725418252420862e-10
202988_s_at,-8.990449700050616,6.98796908561332e-14,9.7320571959201e-11
209771_x_at,-8.966663009341596,6.334592137110101e-13,4.1515798997418936e-10
218237_s_at,-8.75087547938707,2.716238063274065e-13,2.426764730549764e-10
201286_at,-8.727528316038613,2.2034739978199217e-13,2.2817781636108824e-10
201131_s_at,-8.645226403595018,4.283535086926619e-13,3.1816670780661953e-10
201596_x_at,-8.255320766203603,1.891757765157006e-12,1.061153643397438e-09
